"","McAllister.LTS.JH22","McAllister.LTS.JH23","McAllister.LTS.JH24","McAllister.LTS.JH25","McAllister.LTS.JH26","McAllister.LTS.JH27","McAllister.LTS.JH28","McAllister.LTS.JH29","McAllister.LTS.JH30","McAllister.LTS.JH31","McAllister.LTS.JH32","McAllister.LTS.JH33","McAllister.LTS.JH34","McAllister.LTS.JH35","McAllister.LTS.JH36","McAllister.LTS.MD1","McAllister.LTS.MD10","McAllister.LTS.MD11","McAllister.LTS.MD12","McAllister.LTS.MD13","McAllister.LTS.MD14","McAllister.LTS.MD15","McAllister.LTS.MD16","McAllister.LTS.MD17","McAllister.LTS.MD18","McAllister.LTS.MD19","McAllister.LTS.MD2","McAllister.LTS.MD20","McAllister.LTS.MD21","McAllister.LTS.MD3","McAllister.LTS.MD4","McAllister.LTS.MD5","McAllister.LTS.MD6","McAllister.LTS.MD7","McAllister.LTS.MD8","McAllister.LTS.MD9","McAllister.STS.JH23","McAllister.STS.JH24","McAllister.STS.JH25","McAllister.STS.JH26","McAllister.STS.JH27","McAllister.STS.JH28","McAllister.STS.JH29","McAllister.STS.JH30","McAllister.STS.JH31","McAllister.STS.JH32","McAllister.STS.MD1","McAllister.STS.MD10","McAllister.STS.MD11","McAllister.STS.MD12","McAllister.STS.MD13","McAllister.STS.MD14","McAllister.STS.MD15","McAllister.STS.MD16","McAllister.STS.MD17","McAllister.STS.MD18","McAllister.STS.MD19","McAllister.STS.MD2","McAllister.STS.MD20","McAllister.STS.MD21","McAllister.STS.MD22","McAllister.STS.MD3","McAllister.STS.MD4","McAllister.STS.MD5","McAllister.STS.MD6","McAllister.STS.MD7","McAllister.STS.MD8","McAllister.STS.MD9"
"Zotu.0077",0,0,0,0,0,0,0,0,0,0,554,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,356,0,0,0,618,656,0,0,0,956,0,58,0
"Zotu.0078",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,737,0,497,0,0,0,282,1164,0,0,0,376,0,317,0
"Zotu.0079",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,27,0,0,0,0,30,0,0,0,0,0,0,0,1207,63,0,0,0,0,0,0,1232,0,0,0,73,369,0,223,0,147,0,0,0
"Zotu.0080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,0,0,0,0,0,0,0,34,0,0,0,488,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1058,0,0,0,108,626,0,0,0,125,0,54,0
"Zotu.0081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,44,0,0,0,0,0,0,0,1,129,0,0,0,0,0,0,1200,0,0,0,0,357,0,0,0,112,0,296,0
"Zotu.0082",0,0,331,0,0,0,0,0,39,0,1,0,0,0,0,82,0,0,0,0,0,0,309,0,0,304,0,0,0,1,0,0,0,0,0,0,0,0,0,109,0,0,13,0,0,0,0,0,0,0,181,0,0,0,9,33,217,0,0,0,335,0,0,0,1058,0,0,0
"Zotu.0083",1,0,0,0,0,0,0,0,361,0,0,0,0,0,0,2,0,0,0,0,0,41,0,2,616,0,1461,0,0,0,428,35,0,107,34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu.0084",358,0,0,0,83,0,0,0,192,0,0,0,1,0,0,100,0,0,0,5,0,588,0,0,285,0,0,0,766,0,186,0,0,3,0,67,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,134,0,0,0,0
"Zotu.0085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,533,0,0,0,396,1314,0,0,0,0,0,0,0
"Zotu.0086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,749,0,0,0,145,1305,0,0,0,0,0,0,0
"Zotu.0087",0,0,0,0,1,0,32,0,361,0,0,0,0,0,0,264,0,0,83,0,196,39,196,177,0,0,0,0,0,91,659,0,201,0,0,461,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu.0088",0,0,2,0,0,0,0,0,0,0,0,0,2,0,312,76,0,64,0,0,0,0,509,10,0,0,0,0,0,0,0,0,156,0,0,1,0,0,0,0,0,0,8,0,0,0,0,272,0,246,0,0,0,0,0,0,0,0,0,317,0,0,0,0,671,0,0,0
"Zotu.0089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,14,0,0,0,0,0,0,0,301,200,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,341,0,0,0,2,711,0,0,0,129,0,0,27
"Zotu.0090",0,0,0,0,0,25,0,0,0,0,1,0,556,1,0,0,0,194,0,0,0,265,0,0,0,0,0,0,0,0,0,107,0,0,135,167,0,0,0,0,0,1,0,0,497,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,270,0,0
"Zotu.0091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,2673,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu.0092",459,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,244,0,294,0,0,0,397,0,0,0,56,0,0,0,0,0,0,2,0,0,0,174,0,0,0,0,3,0,0,0,0,0,0,0,0,49,0,0,176
"Zotu.0093",0,0,0,0,0,0,0,1,0,0,1,0,49,0,0,0,0,0,497,0,0,468,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,0,224,0,83,0
"Zotu.0094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51,1,82,385,0,0,0,0,60,181,0,0,1781,0,0,0,2,0,0,0,0
"Zotu.0095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2219,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu.0096",0,17,0,0,0,0,0,0,2,0,0,0,0,2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
